Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
1000,Lightning Cable,2,1066.05,2023-05-01 00:00:00,Chicago
1001,Headphones,4,1602.27,2023-05-01 01:00:00,San Francisco
1002,ThinkPad,4,933.15,2023-05-01 02:00:00,Boston
1003,Monitor,4,1434.36,2023-05-01 03:00:00,Chicago
1004,Lightning Cable,1,307.31,2023-05-01 04:00:00,New York
1005,ThinkPad,4,1281.14,2023-05-01 05:00:00,New York
1006,Headphones,3,1061.74,2023-05-01 06:00:00,New York
1007,Lightning Cable,3,429.83,2023-05-01 07:00:00,Austin
1008,USB-C Cable,3,529.34,2023-05-01 08:00:00,Austin
1009,Lightning Cable,2,1509.35,2023-05-01 09:00:00,Boston
1010,ThinkPad,1,1935.3,2023-05-01 10:00:00,Austin
1011,Monitor,3,1619.97,2023-05-01 11:00:00,Los Angeles
1012,Monitor,2,752.49,2023-05-01 12:00:00,Los Angeles
1013,Lightning Cable,4,984.27,2023-05-01 13:00:00,Los Angeles
1014,ThinkPad,3,900.94,2023-05-01 14:00:00,Boston
1015,Headphones,3,1946.17,2023-05-01 15:00:00,Los Angeles
1016,Lightning Cable,3,81.1,2023-05-01 16:00:00,Chicago
1017,Macbook Pro,3,1260.56,2023-05-01 17:00:00,San Francisco
1018,Monitor,1,1707.52,2023-05-01 18:00:00,Chicago
1019,USB-C Cable,3,1724.76,2023-05-01 19:00:00,New York
1020,Monitor,4,237.67,2023-05-01 20:00:00,Austin
1021,USB-C Cable,3,1649.61,2023-05-01 21:00:00,New York
1022,Headphones,1,1866.81,2023-05-01 22:00:00,San Francisco
1023,iPhone,3,295.89,2023-05-01 23:00:00,New York
1024,Lightning Cable,4,296.51,2023-05-02 00:00:00,San Francisco
1025,Headphones,1,175.34,2023-05-02 01:00:00,New York
1026,Headphones,2,1253.09,2023-05-02 02:00:00,Boston
1027,USB-C Cable,4,941.88,2023-05-02 03:00:00,San Francisco
1028,ThinkPad,4,1277.67,2023-05-02 04:00:00,Los Angeles
1029,Google Pixel,1,401.17,2023-05-02 05:00:00,Los Angeles
1030,Headphones,4,387.18,2023-05-02 06:00:00,Chicago
1031,USB-C Cable,4,160.18,2023-05-02 07:00:00,Boston
1032,Headphones,4,443.96,2023-05-02 08:00:00,Los Angeles
1033,USB-C Cable,3,447.59,2023-05-02 09:00:00,Los Angeles
1034,Headphones,1,569.66,2023-05-02 10:00:00,San Francisco
1035,USB-C Cable,1,1550.99,2023-05-02 11:00:00,Austin
1036,Lightning Cable,1,1348.7,2023-05-02 12:00:00,Boston
1037,Headphones,1,524.14,2023-05-02 13:00:00,Boston
1038,Lightning Cable,3,379.28,2023-05-02 14:00:00,Austin
1039,Headphones,1,328.89,2023-05-02 15:00:00,Austin
